Name:,Test Input,
Type:,Fitts's Law Simulation ,
Hand:,right,
Gain:,3,
,
Total Time,Cube Number,Time for Cube,,Number of Collisions,Time Colliding,Distance,,Player X,Player Y,Player Z,,Cube X,Cube Y, Cube Z,,
12.31225,6,1.62243,,0,0,42.63301,,88.8725,29.41294,240.3086,,75,30,200,,
12.32316,6,1.633341,,0,0,41.75913,,88.60031,29.36329,239.4772,,75,30,200,,
12.33434,6,1.64452,,0,0,40.88286,,88.32845,29.28944,238.6427,,75,30,200,,
12.34547,6,1.655653,,0,0,40.01547,,88.08047,29.21527,237.809,,75,30,200,,
12.35655,6,1.66673,,0,0,39.13879,,87.85584,29.12482,236.9568,,75,30,200,,
12.36774,6,1.677921,,0,0,38.25208,,87.65824,29.04954,236.0844,,75,30,200,,
12.37879,6,1.68897,,0,0,37.37457,,87.49141,28.99076,235.2109,,75,30,200,,
12.38985,6,1.70003,,0,0,36.55143,,87.34756,28.94181,234.3864,,75,30,200,,
12.40103,6,1.711208,,0,0,35.80774,,87.24216,28.90045,233.632,,75,30,200,,
12.41216,6,1.722341,,0,0,35.07159,,87.13001,28.85493,232.8872,,75,30,200,,
12.4232,6,1.733379,,0,0,34.35656,,87.00782,28.79329,232.1672,,75,30,200,,
12.43432,6,1.744502,,0,0,33.64186,,86.8856,28.72796,231.4466,,75,30,200,,
12.44548,6,1.755666,,0,0,32.93795,,86.77015,28.67976,230.7348,,75,30,200,,
12.45657,6,1.766745,,0,0,32.23041,,86.66177,28.63892,230.0158,,75,30,200,,
12.46767,6,1.777853,,0,0,31.5358,,86.56294,28.6046,229.3063,,75,30,200,,
12.47878,6,1.788958,,0,0,30.91483,,86.49182,28.5899,228.6649,,75,30,200,,
12.48988,6,1.800059,,0,0,30.29995,,86.41485,28.57399,228.0313,,75,30,200,,
12.50106,6,1.811241,,0,0,29.70296,,86.34554,28.58034,227.414,,75,30,200,,
12.51218,6,1.822357,,0,0,29.12106,,86.29041,28.59728,226.8066,,75,30,200,,
12.52325,6,1.833434,,0,0,28.55122,,86.2628,28.6263,226.1999,,75,30,200,,
12.53432,6,1.844504,,0,0,27.99202,,86.24357,28.665,225.5999,,75,30,200,,
12.54555,6,1.855731,,0,0,27.43577,,86.22748,28.71309,225.0002,,75,30,200,,
12.55662,6,1.866797,,0,0,26.88678,,86.20197,28.76788,224.411,,75,30,200,,
12.56767,6,1.877851,,0,0,26.34783,,86.15035,28.8373,223.8438,,75,30,200,,
12.57875,6,1.888929,,0,0,25.78869,,86.03089,28.88449,223.2837,,75,30,200,,
12.58984,6,1.900025,,0,0,25.26781,,85.90147,28.93465,222.7703,,75,30,200,,
12.60123,6,1.911409,,0,0,24.78483,,85.75504,28.97142,222.306,,75,30,200,,
12.61222,6,1.922401,,0,0,24.32509,,85.6155,29.01584,221.8644,,75,30,200,,
12.62323,6,1.933411,,0,0,23.90321,,85.48582,29.07436,221.4605,,75,30,200,,
12.63441,6,1.944588,,0,0,23.47368,,85.35408,29.13633,221.049,,75,30,200,,
12.64557,6,1.955751,,0,0,23.04578,,85.21009,29.21617,220.6458,,75,30,200,,
12.6566,6,1.96678,,0,0,22.62029,,85.06847,29.30043,220.2439,,75,30,200,,
